title,email,source_url,location,compensation,employment_type
Digital Account Director - Pharma - Agency - Full-time,sf100@jobalert.creativecircle.com,https://sfbay.craigslist.org/sfc/mar/d/digital-account-director/6487858043.html,,up to $170k,full-time
Marketing Operations Specialist,sf60@jobalert.creativecircle.com,https://sfbay.craigslist.org/sfc/mar/d/marketing-operations/6486716304.html,,Up to $22.50/hr DOE,contract
Marketing Director | SF649,,https://sfbay.craigslist.org/sfc/mar/d/marketing-director-sf649/6482545734.html,(russian hill),Above $100K compensation target. (Salary + an override on team performance).,full-time
Sales and Marketing Coordinator needed for Alcatraz Cruises!,,https://sfbay.craigslist.org/sfc/mar/d/sales-and-marketing/6482499949.html,,Will discuss with applicant.,full-time
"Marketing Specialist, Community Development - FTR012018",,https://sfbay.craigslist.org/sfc/mar/d/marketing-specialist/6482312148.html,(tenderloin),Competitive w/ paid benefits,full-time
Communications Manager,,https://sfbay.craigslist.org/sfc/mar/d/communications-manager/6481526332.html,(bayview),DOE,full-time
Event Production | Marketing Position,7bh3j-6481297725@job.craigslist.org,https://sfbay.craigslist.org/sfc/mar/d/event-production-marketing/6481297725.html,(mission district),$25 /hour + free fitness sessions,contract
Lead and Marketing Specialist,mjpvb-6481171769@job.craigslist.org,https://sfbay.craigslist.org/sfc/mar/d/lead-and-marketing-specialist/6481171769.html,(financial district),Market Rate + Benefits,full-time
Part Time Admin Support at Wine & Spirits PR Agency,6tsbn-6480976084@job.craigslist.org,https://sfbay.craigslist.org/sfc/mar/d/part-time-admin-support-at/6480976084.html,,$17/hour,part-time
Account Coordinator,mfxmq-6480965765@job.craigslist.org,https://sfbay.craigslist.org/sfc/mar/d/account-coordinator/6480965765.html,(San Francisco),Salary position,full-time
Digital Marketing Manager or Director,s5ptz-6479750695@job.craigslist.org,https://sfbay.craigslist.org/sfc/mar/d/digital-marketing-manager-or/6479750695.html,(Santa Rosa),commensurate with experience - competitive pay,full-time
Looking for Awesome Graphic Designer/Marketing Manager,xqvt5-6478977596@job.craigslist.org,https://sfbay.craigslist.org/sfc/mar/d/looking-for-awesome-graphic/6478977596.html,(financial district),.,full-time
Marketing Assistant - Leading Software Company - ASAP Opportunity,sdjpq-6478890705@job.craigslist.org,https://sfbay.craigslist.org/sfc/mar/d/marketing-assistant-leading/6478890705.html,,DOE,contract
Internship - Event Coordinator/Business Development,,https://sfbay.craigslist.org/sfc/mar/d/internship-event-coordinator/6478665865.html,"(San Francisco, CA)",$13/hour,full-time
Nonprofit Education Marketing Manager,sf60@jobalert.creativecircle.com,https://sfbay.craigslist.org/sfc/mar/d/nonprofit-education-marketing/6478525764.html,,Up to $95k/annually DOE,full-time
Marketing Director - Maker Faire,kxg97-6477237588@job.craigslist.org,https://sfbay.craigslist.org/sfc/mar/d/marketing-director-maker-faire/6477237588.html,,Salary and level to be determined by experience and education,contract
Paid Acquisition Manager,,https://sfbay.craigslist.org/sfc/mar/d/paid-acquisition-manager/6477059510.html,(downtown / civic / van ness),"$101,000 - $119,000 depending on experience",full-time
Communications Manager,,https://sfbay.craigslist.org/sfc/mar/d/communications-manager/6476730095.html,"(San Francisco, CA)",competitive,part-time
Marketing Intern for Game Industry,v6bf5-6472998746@job.craigslist.org,https://sfbay.craigslist.org/sfc/mar/d/marketing-intern-for-game/6472998746.html,(financial district),Monthly transportation stipend provided,full-time
Paid Marketing Internship for Unique Wood Watch Brand,jzhd4-6472991174@job.craigslist.org,https://sfbay.craigslist.org/sfc/mar/d/paid-marketing-internship-for/6472991174.html,(SOMA / south beach),$14/ hr,part-time
Online review building / marketing / advertising,Info@hometechconstruction.com,https://sfbay.craigslist.org/sfc/mar/d/online-review-building/6472629760.html,(San Fran),15-20$ Hour +++++,employee's choice
Wanted: Talented Designer and All-Around Great Person,cgdsv-6472561295@job.craigslist.org,https://sfbay.craigslist.org/sfc/mar/d/wanted-talented-designer-and/6472561295.html,(SOMA / south beach),TBD,full-time
PR Coordinator,,https://sfbay.craigslist.org/sfc/mar/d/pr-coordinator/6472550686.html,(financial district),50k-60k,full-time
Marketing Manager,5vpw2-6471346194@job.craigslist.org,https://sfbay.craigslist.org/sfc/mar/d/marketing-manager/6471346194.html,(bayview),$90 - $125k,full-time
Assistant Program Coordinator (part time),phsmg-6470732953@job.craigslist.org,https://sfbay.craigslist.org/sfc/mar/d/assistant-program-coordinator/6470732953.html,(SOMA / south beach),Competitive based on past experience and skill set,part-time
Parent Brand Ambassador,kbmb7-6470728711@job.craigslist.org,https://sfbay.craigslist.org/sfc/mar/d/parent-brand-ambassador/6470728711.html,(San Francisco),15/hour plus commisssion,contract
Marketing Coordinator (Graphic Design) - 50029-en_US,,https://sfbay.craigslist.org/sfc/mar/d/marketing-coordinator-graphic/6470058304.html,"(San Francisco, CA)",Open,full-time
Marketing Coordinator / Sr. Marketing Coordinator -- Architecture Firm,ggxnz-6469981931@job.craigslist.org,https://sfbay.craigslist.org/sfc/mar/d/marketing-coordinator-sr/6469981931.html,(SOMA / south beach),DOE,full-time
Account Manager,sf75@jobalert.creativecircle.com,https://sfbay.craigslist.org/sfc/mar/d/account-manager/6468960392.html,,up to $35/hr DOE,contract
Part-Time Marketing Position for SF Pet Brand,4mmzz-6466149501@job.craigslist.org,https://sfbay.craigslist.org/sfc/mar/d/part-time-marketing-position/6466149501.html,(mission district),$15/hr,part-time
Sales and Marketing Coordinator needed for Alcatraz Cruises!,,https://sfbay.craigslist.org/sfc/mar/d/sales-and-marketing/6465984889.html,,Will discuss with applicant.,full-time
Senior Account Executive,mq97g-6465969537@job.craigslist.org,https://sfbay.craigslist.org/sfc/mar/d/senior-account-executive/6465969537.html,(north beach / telegraph hill),TBD,full-time
Marketing Communication Manager - For leading mobile development firm,hkfvr-6465726811@job.craigslist.org,https://sfbay.craigslist.org/sfc/mar/d/marketing-communication/6465726811.html,(financial district),Competitive salary,full-time
Paid Marketing Internship for Unique Wood Watch Brand,3sbwq-6465573019@job.craigslist.org,https://sfbay.craigslist.org/sfc/mar/d/paid-marketing-internship-for/6465573019.html,(SOMA / south beach),$14/ hr,part-time
Full-time Temp PR Associate in Games/Tech,c7vmd-6464780322@job.craigslist.org,https://sfbay.craigslist.org/sfc/mar/d/full-time-temp-pr-associate/6464780322.html,(financial district),$15/hour,full-time
Project / Traffic Manager,sf90@jobalert.creativecircle.com,https://sfbay.craigslist.org/sfc/mar/d/project-traffic-manager/6462023233.html,,Up to $45/hr,contract
Marketing Communication Manager - For A Dance Workout App-Blockchain,wvbtq-6461430138@job.craigslist.org,https://sfbay.craigslist.org/sfc/mar/d/marketing-communication/6461430138.html,(downtown / civic / van ness),Negotiable,contract
"Marketing Branding & Admin for real estate, design & construction firm",info@eastwoodsf.com,https://sfbay.craigslist.org/sfc/mar/d/marketing-branding-admin-for/6461166608.html,(mission district),60-70K base + profit sharing,full-time
Sales and Marketing Coordinator needed for Alcatraz Cruises!,,https://sfbay.craigslist.org/sfc/mar/d/sales-and-marketing/6457723564.html,,Will discuss with applicant.,full-time
Marketing Coordinator | SF629,,https://sfbay.craigslist.org/sfc/mar/d/marketing-coordinator-sf629/6456541555.html,(downtown / civic / van ness),"$60-65k, Competitive salary based on experience",full-time
Communications Associate - Episcopal Diocese of California,xwg5f-6455025429@job.craigslist.org,https://sfbay.craigslist.org/sfc/mar/d/communications-associate/6455025429.html,(nob hill),"$50-$60K, based on experience",full-time
Seeking PR Strategist (part-time),2BPRJobs@gmail.com,https://sfbay.craigslist.org/sfc/mar/d/seeking-pr-strategist-part/6454117235.html,,$100/hour,part-time
User Acquisition Marketing Analyst - Mobile Games,,https://sfbay.craigslist.org/sfc/mar/d/user-acquisition-marketing/6454009139.html,(financial district),DOE,full-time
User Acquisition Marketing Manager - Adwords,,https://sfbay.craigslist.org/sfc/mar/d/user-acquisition-marketing/6453998302.html,(financial district),DOE,full-time
Marketing Internship for Unique Wood Watch Brand,vww3v-6453908882@job.craigslist.org,https://sfbay.craigslist.org/sfc/mar/d/marketing-internship-for/6453908882.html,(SOMA / south beach),Unpaid,part-time
Social Media Consultant,chv9v-6488083971@job.craigslist.org,https://sfbay.craigslist.org/nby/mar/d/social-media-consultant/6488083971.html,(petaluma),based on experience,contract
"Senior Manager, Social Media",,https://sfbay.craigslist.org/pen/mar/d/senior-manager-social-media/6480966171.html,(Redwood City),TBD,full-time
Marketing / Social Media / Executive Assistant,tqtb3-6474185704@job.craigslist.org,https://sfbay.craigslist.org/nby/mar/d/marketing-social-media/6474185704.html,(petaluma),TBD,full-time
Social Media intern for exciting new app!,mjf2f-6474150186@job.craigslist.org,https://sfbay.craigslist.org/eby/mar/d/social-media-intern-for/6474150186.html,(oakland downtown),This is a part-time non-paid internship.,part-time
Social Media/Marketing Specialist,nr7ht-6470418932@job.craigslist.org,https://sfbay.craigslist.org/nby/mar/d/social-media-marketing/6470418932.html,(sonoma),DOE,full-time
"Website (Wordpress), Social Media, Digital Marketing Professional",dbkc7-6469506551@job.craigslist.org,https://sfbay.craigslist.org/eby/mar/d/website-wordpress-social/6469506551.html,(walnut creek),Depends upon experience.,part-time
Social Media Internship at a Creative Agency,,https://sfbay.craigslist.org/eby/mar/d/social-media-internship-at/6464616024.html,(berkeley),$18.00/hour,full-time
Business Operations Program Manager at the Largest Social Network,xvxgh-6488986635@job.craigslist.org,https://sfbay.craigslist.org/pen/mar/d/business-operations-program/6488986635.html,(menlo park),$40 - $43 per hour,full-time
Social Media Director,sf90@jobalert.creativecircle.com,https://sfbay.craigslist.org/eby/mar/d/social-media-director/6462017660.html,,Up to $50hr/DOE,contract
Paid Media Specialist,2n8jz-6482778915@job.craigslist.org,https://sfbay.craigslist.org/sby/mar/d/paid-media-specialist/6482778915.html,(santa clara),DOE,full-time
Social Marketing Intern-Winter/Spring 2018,,https://sfbay.craigslist.org/pen/mar/d/social-marketing-intern/6480980664.html,(redwood city),Intern Rate,part-time
Digital Media and Product Management Part-Time Contract Position,3hhjk-6478944907@job.craigslist.org,https://sfbay.craigslist.org/eby/mar/d/digital-media-and-product/6478944907.html,,Paid Part-Time (Contract 1099),part-time
Communication Director,znwvw-6487930822@job.craigslist.org,https://sfbay.craigslist.org/pen/mar/d/communication-director/6487930822.html,(south san francisco),DOE,full-time
Social Project Manager for a Creative Agency,,https://sfbay.craigslist.org/eby/mar/d/social-project-manager-for/6470344249.html,(berkeley),DOE,full-time
Digital Marketing Manager,vrhj6-6485767707@job.craigslist.org,https://sfbay.craigslist.org/sby/mar/d/digital-marketing-manager/6485767707.html,(san jose downtown),Annual Salary DOE; competitive benefits package,full-time
Marketing Manager,pmbk2-6485551251@job.craigslist.org,https://sfbay.craigslist.org/nby/mar/d/marketing-manager/6485551251.html,(novato),$40 hourly range,full-time
Marketing/administration,zddmf-6485522430@job.craigslist.org,https://sfbay.craigslist.org/sby/mar/d/marketing-administration/6485522430.html,(saratoga),$17-$21,part-time
Director of Marketing,,https://sfbay.craigslist.org/pen/mar/d/director-of-marketing/6483172856.html,(palo alto),DOE,full-time
Marketing Manager for Health Care Collaborative,3dg9x-6482708286@job.craigslist.org,https://sfbay.craigslist.org/eby/mar/d/marketing-manager-for-health/6482708286.html,(oakland downtown),Commensurate with experience,full-time
Marketing Specialist,,https://sfbay.craigslist.org/eby/mar/d/marketing-specialist/6482318116.html,(lafayette / orinda / moraga),Base range: $60-80K,full-time
Account Coordinator | The Engine is Red,gwt7g-6481309640@job.craigslist.org,https://sfbay.craigslist.org/nby/mar/d/account-coordinator-the/6481309640.html,(santa rosa),"Competitive Salary, 401K, Benefits",full-time
Rapidly Growing Health E-commerce Startup looking for Junior Marketers,mrxkb-6481078715@job.craigslist.org,https://sfbay.craigslist.org/pen/mar/d/rapidly-growing-health/6481078715.html,(redwood city),"50,000 Salary and Benefits Package",full-time
Marketing and Production Manager,noor@synergyfacilities.net,https://sfbay.craigslist.org/eby/mar/d/marketing-and-production/6480088416.html,(oakland hills / mills),55-65k,full-time
NorCal Community Manager,pbpk6-6480000998@job.craigslist.org,https://sfbay.craigslist.org/pen/mar/d/norcal-community-manager/6480000998.html,(palo alto),40k-55k/year,contract
Sales Associate and Marketing Coordinator  for consumer goods,4sqp6-6478921899@job.craigslist.org,https://sfbay.craigslist.org/eby/mar/d/sales-associate-and-marketing/6478921899.html,(oakland west),$27 - $33 hr plus benefits,full-time
Marketing Coordinator for Top Producing Agent,jxsp3-6478793109@job.craigslist.org,https://sfbay.craigslist.org/eby/mar/d/marketing-coordinator-for-top/6478793109.html,(walnut creek),TBD,part-time
Web Marketing Account Specialist,wpdkt-6478757272@job.craigslist.org,https://sfbay.craigslist.org/sby/mar/d/web-marketing-account/6478757272.html,(san jose south),DOE,full-time
Marketing & Community Manager (Exciting Start up),cs4wj-6478729045@job.craigslist.org,https://sfbay.craigslist.org/eby/mar/d/marketing-community-manager/6478729045.html,(oakland downtown),We offer competitive Salary + Equity package,full-time
Creative Content Coordinator at Annmarie Skin Care,,https://sfbay.craigslist.org/eby/mar/d/creative-content-coordinator/6478423033.html,(berkeley),DOE,full-time
Online Media Manager,,https://sfbay.craigslist.org/eby/mar/d/online-media-manager/6464280467.html,(walnut creek),Competitve - DOE,full-time
"Marketing Specialist for Real Estate Team, Full-Time",dfrzj-6477650112@job.craigslist.org,https://sfbay.craigslist.org/sby/mar/d/marketing-specialist-for-real/6477650112.html,(santa clara),Competitive,full-time
Paid Acquisition Manager,,https://sfbay.craigslist.org/eby/mar/d/paid-acquisition-manager/6477067399.html,(Berkeley),"$101,000 - $119,000 depending on experience",full-time
MARKETING ASSOCIATE (INTERNSHIP AVAILABLE) - MOTA - IMMEDIATE OPENING,,https://sfbay.craigslist.org/sby/mar/d/marketing-associate/6474354045.html,,DOE,full-time
"Events Coordinator, SIMONS (6299U) Job 24427",,https://sfbay.craigslist.org/mar/d/events-coordinator-simons/6473872582.html,,,
Admin and Marketing Wiz,,https://sfbay.craigslist.org/eby/mar/d/admin-and-marketing-wiz/6473151896.html,(oakland downtown),$15-19/hr,part-time
Marketing Assistant for North Bay Ad Agency,careers@kiosk.tm,https://sfbay.craigslist.org/nby/mar/d/marketing-assistant-for-north/6473127985.html,(novato),Commensurate with experiencde,full-time
Events Coordinator,vshpf-6472790893@job.craigslist.org,https://sfbay.craigslist.org/eby/mar/d/events-coordinator/6472790893.html,(Berkeley),"$18.36 to $21.20 per hour, DOQ",full-time
Marketing Manager,qdznb-6472701375@job.craigslist.org,https://sfbay.craigslist.org/eby/mar/d/marketing-manager/6472701375.html,(danville / san ramon),based on experience,full-time
Digital Marketing Coordinator,,https://sfbay.craigslist.org/nby/mar/d/digital-marketing-coordinator/6472535204.html,(santa rosa),based on experience,full-time
VillaSport - Content Manager,,https://sfbay.craigslist.org/nby/mar/d/villasport-content-manager/6472465460.html,(san rafael),annual + incentive bonus + benefits,full-time
Online reviews buildup / marketing genius / advertising,Info@hometechconstruction.com,https://sfbay.craigslist.org/sby/mar/d/online-reviews-buildup/6472460260.html,(San Jose),15-20$ hour ++++,employee's choice
Sign Maker/Production & Installation,6qdjt-6471751859@job.craigslist.org,https://sfbay.craigslist.org/eby/mar/d/sign-maker-production/6471751859.html,(dublin / pleasanton / livermore),$15-$18/ hour,part-time
Marketing Director,wrjxv-6471732310@job.craigslist.org,https://sfbay.craigslist.org/eby/mar/d/marketing-director/6471732310.html,(dublin / pleasanton / livermore),"Base salary $80,000 plus bonus",full-time
Membership Marketing Manager at Berkeleyside,,https://sfbay.craigslist.org/eby/mar/d/membership-marketing-manager/6470605404.html,(berkeley),$30k-50k per year,full-time
Manager of Events/PR,kq4kw-6470594643@job.craigslist.org,https://sfbay.craigslist.org/nby/mar/d/manager-of-events-pr/6470594643.html,(petaluma),DOE,full-time
Advertising Sales & Marketing Manager,xsw9p-6470588878@job.craigslist.org,https://sfbay.craigslist.org/nby/mar/d/advertising-sales-marketing/6470588878.html,(healdsburg / windsor),"Competitve executive salary, plus incentives",full-time
Associate Marketing Manager for fast-growing startup in smart health,kkvhp-6470561901@job.craigslist.org,https://sfbay.craigslist.org/pen/mar/d/associate-marketing-manager/6470561901.html,(redwood city),"$60,000 with equity and benefits package",full-time
"Coordinator, Marketing and Operations Alumni Chapters & The Berkeley N",vzngf-6470235054@job.craigslist.org,https://sfbay.craigslist.org/eby/mar/d/coordinator-marketing-and/6470235054.html,(berkeley),$20-22 per hour,full-time
Publicist/Account Executive at Boutique PR Agency,,https://sfbay.craigslist.org/eby/mar/d/publicist-account-executive/6469534677.html,(oakland downtown),DOE,full-time
Marketing & Business Development Coordinator,s39xg-6468599983@job.craigslist.org,https://sfbay.craigslist.org/eby/mar/d/marketing-business/6468599983.html,(walnut creek),DOE,full-time
Marketing Coordinator (part time),f3vtd-6467227106@job.craigslist.org,https://sfbay.craigslist.org/nby/mar/d/marketing-coordinator-part/6467227106.html,(petaluma),$25/hr,part-time
Public Relations Coordinator/Intern,jjsfr-6465836232@job.craigslist.org,https://sfbay.craigslist.org/sby/mar/d/public-relations-coordinator/6465836232.html,(san jose south),DOE,part-time
Communications Coordinator,pzddf-6465835969@job.craigslist.org,https://sfbay.craigslist.org/nby/mar/d/communications-coordinator/6465835969.html,(santa rosa),$19.00 - 20.00 per hour,part-time
Marketing Supervisor!!,autoglassnowjobs@gmail.com,https://sfbay.craigslist.org/eby/mar/d/marketing-supervisor/6465807173.html,(oakland downtown),TBD,full-time
Marketing and Development Coordinator,pdqgt-6487106209@job.craigslist.org,https://monterey.craigslist.org/mar/d/marketing-and-development/6487106209.html,(Carmel),DOE,full-time
Marketing Agency Account Coordinator,sgks8-6486222710@job.craigslist.org,https://monterey.craigslist.org/mar/d/marketing-agency-account/6486222710.html,(Charming Oldtown Salinas),$17- $20 per hour (plus overtime); commensurate with experience,full-time
Marketing and Promotions Director,r6ggh-6480064746@job.craigslist.org,https://monterey.craigslist.org/mar/d/marketing-and-promotions/6480064746.html,(Carmel),negotiable,part-time
Promotions and Events Coordinator,z238d-6478688426@job.craigslist.org,https://monterey.craigslist.org/mar/d/promotions-and-events/6478688426.html,(Pacific Grove),$14-$17/hour DOE + production incentive bonuses each week!,full-time
Consumer Tech PR Associate Account Manager,vzhpm-6469392951@job.craigslist.org,https://monterey.craigslist.org/mar/d/consumer-tech-pr-associate/6469392951.html,(Santa Cruz),Depends on experience,full-time
Tech PR Account Manager,9g8tb-6469389777@job.craigslist.org,https://monterey.craigslist.org/mar/d/tech-pr-account-manager/6469389777.html,(Santa Cruz),Depends on experience,full-time
Internet & Social Media Marketing Specialist,9ghhq-6482105350@job.craigslist.org,https://sacramento.craigslist.org/mar/d/internet-social-media/6482105350.html,(Natomas),BOE,full-time
Social Media Coordinator,d6kss-6470647741@job.craigslist.org,https://sacramento.craigslist.org/mar/d/social-media-coordinator/6470647741.html,(Sacramento),Based upon experience and skills,full-time
"Marketing, Social Media and Creative Intern Needed",jw@businesscoach.com,https://sacramento.craigslist.org/mar/d/marketing-social-media-and/6464683380.html,(Sacramento),$500 or More,contract
OFFICE/MARKETING ASSISTANT,,https://sacramento.craigslist.org/mar/d/office-marketing-assistant/6485624488.html,(ROSEVILLE),$12 - $15 hourly,full-time
Marketing Associate / Sales Assistant,,https://sacramento.craigslist.org/mar/d/marketing-associate-sales/6483480301.html,(Roseville Honda Motorsports),Hourly based on experience,full-time
Marketing specialist need for CBD business,bn4rz-6482060132@job.craigslist.org,https://sacramento.craigslist.org/mar/d/marketing-specialist-need-for/6482060132.html,,100k potential first year,employee's choice
MARKETING SPECIALIST,acorrea@norcalfreeze.net,https://sacramento.craigslist.org/mar/d/marketing-specialist/6481778044.html,,Depending on experience ($15 - $20/hr) + Commission,part-time
Marketing Communications Specialist,dvchr-6480822844@job.craigslist.org,https://sacramento.craigslist.org/mar/d/marketing-communications/6480822844.html,(HW 50 @ Sunrise Bl),Salary will be commensurate with experience and competitive with the industry.,full-time
creative mind . . . marketing superstar wanted for growing company!!,8x7ws-6480403221@job.craigslist.org,https://sacramento.craigslist.org/mar/d/creative-mind-marketing/6480403221.html,(sacramento),"Salary, bonus, commission, benefits",full-time
Digital Marketing Coordinator for Fast Growing Ad Agency in Sacramento,crcq5-6478932500@job.craigslist.org,https://sacramento.craigslist.org/mar/d/digital-marketing-coordinator/6478932500.html,(Sacramento),Part time salary plus bonus,part-time
Marketing Manager - Company that creates donations for charities.,f9djg-6478714582@job.craigslist.org,https://sacramento.craigslist.org/mar/d/marketing-manager-company/6478714582.html,(Roseville / Folsom),We are currently a self-funded company with discussions underway for early stage funding. Seeking individuals that have the capability to invest time and talent in exchange for participation in salary and equity as funding is secured.,employee's choice
Detail Oriented Administrative & Marketing Coordinator,zh4k9-6473435492@job.craigslist.org,https://sacramento.craigslist.org/mar/d/detail-oriented/6473435492.html,"(Elk Grove, CA)",Starting at $15,part-time
Bi-lingual Market Research Coordinator,38snn-6472413219@job.craigslist.org,https://sacramento.craigslist.org/mar/d/bi-lingual-market-research/6472413219.html,(Downtown Sacramento),hourly,part-time
Creative Writer/ Design Specialist,xgz32-6471368693@job.craigslist.org,https://sacramento.craigslist.org/mar/d/creative-writer-design/6471368693.html,"(Roseville, CA)",18 - 25 per hour,part-time
Inbound Content Manager,f2tqm-6469257275@job.craigslist.org,https://sacramento.craigslist.org/mar/d/inbound-content-manager/6469257275.html,(Mt Shasta),DOE,full-time
